Sr_no,Name,Ratings,Type,MRP
1,The Psychology of Money,4.6,Paperback,248.00
2,Atomic Habits: The life-changing million copy bestseller,4.6,Paperback,515.00
3,The Answer Writing Manual for UPSC Civil Services & State PSC Examinations,4.2,Paperback,360.00
4,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,4.6,Mass Market Paperback,290.00
5,Ikigai: The Japanese secret to a long and happy life,4.6,Hardcover,313.00
6,The Power of Your Subconscious Mind,4.5,Paperback,114.00
7,My First Library: Boxset of 10 Board Books for Kids,4.5,Board book,399.00
8,Word Power Made Easy,4.4,Paperback,121.00
9,Trading Chart Breakout Pattern & Candlestick Pattern Pocket Study,4.2,Staple Bound,199.00
10,The Kick A** Craft of Answer Writing - A Step by Step Guide to Ace UPSC Mains by IAS Manuj Jindal,4.4,Paperback,350.00
11,27 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2021) 12th Edition,4.5,Paperback,330.00
12,"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",4.6,Paperback,549.00
13,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",4.6,Paperback,169.00
14,"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life by Gaur Gopal Das: Inspirational Book to find happiness & purpose in life, Self-help Book, Penguin",4.6,Paperback,162.00
15,Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,4.4,Paperback,615.00
16,Concept of Physics by H.C Verma Part - I - Session 2022-23,4.6,Paperback,396.00
17,NTA CUET UG General Test Book (Common University Entrance Test 2022),4.1,Paperback,165.00
18,"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",4.4,Paperback,183.00
19,How to Win Friends and Influence People,4.5,Paperback,99.00
20,DO EPIC SHIT,4.5,Hardcover,248.00
21,Mathematics for Class 10 - CBSE - by R.D. Sharma Examination 2022-23,4.4,Paperback,531.00
22,CBSE All In One Social Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),4.0,Paperback,309.00
23,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",4.4,Paperback,163.00
24,"Rajasthan VDO Main Exam Booster 2022 Last Minute to the point preparation book( VDO Exam Booster,RAS Pre Exam Booster) Rai Publication,Kapil Choudhary ( RTS) free online class QR CODE",5.0,Paperback,140.00
25,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),4.4,Paperback,89.00
26,Quantitative Aptitude for Competitive Examinations,4.4,Paperback,469.00
27,You Can,4.5,Paperback,99.00
28,The Diary of a Young Girl,4.6,Paperback,90.00
29,Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,4.8,Hardcover,166.00
30,General Knowledge,4.4,Paperback,155.00
31,The Alchemist,4.6,Paperback,250.00
32,Brain Activity Book for Kids - 200+ Activities for Age 3+,4.5,Paperback,81.00
33,Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,4.3,Paperback,249.00
34,The Blue Umbrella,4.5,Paperback,85.00
35,Attitude Is Everything: Change Your Attitude ... Change Your Life!,4.5,Paperback,150.00
36,The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,4.7,Paperback,200.00
37,Mathematics for Class 11 (Set of 2 Vol.) - CBSE - by R.D. Sharma Examination 2022-23,4.7,Paperback,660.00
38,Picture Books Collection for Early Learning (Set of 12),4.3,Cards,237.00
39,Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,4.5,Paperback,260.00
40,It Ends With Us: A Novel: Volume 1,4.5,Paperback,320.00
41,The Intelligent Investor (English) Paperback – 2013,4.5,Paperback,479.00
42,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,4.5,Paperback,295.00
43,Certificate Physical And Human Geography; Indian Edition,4.5,Paperback,225.00
44,Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,4.4,Paperback,499.00
45,"MTG Objective NCERT at your FINGERTIPS - Chemistry, Best Books for NEET & JEE Preparation (Based on NCERT Pattern - Latest & Revised Edition 2022)",4.6,Paperback,450.00
46,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.5,Paperback,290.00
47,Deep Work: Rules for Focused Success in a Distracted World,4.5,Paperback,254.00
48,Mathematics for Class 9 - CBSE - by R.D. Sharma Examination 2022-23,4.6,Paperback,499.00
49,"2022 UPDATED Sank Magic Practice Copybook, (4 BOOK + 1 PEN + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic calligraphy books for kids Reusable Writing Tool",4.7,Hardcover,338.00
50,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,4.5,Hardcover,169.00
51,Be Your Own Sunshine,4.3,Paperback,83.00
52,The Power of Your Subconscious Mind,4.5,Paperback,105.00
53,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,4.5,Hardcover,169.00
54,Pathfinder NDA/NA National Defence Academy & Naval Academy Entrance Examination,4.5,Paperback,499.00
55,UGC NET /SET/JRF Paper 1 Teaching and Research Aptitude - 2019- 2021 fully solved papers including Oct- Dec 2021 | Includes National Education Policy 2020| Sixth Edition| By Pearson,4.4,Paperback,346.00
56,Deep Work: Rules for Focused Success in a Distracted World,4.5,Paperback,254.00
57,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,4.6,Paperback,168.00
58,My First 4 in 1 Alphabet Numbers Colours Shapes: Padded Board Books,4.3,Board book,159.00
59,Ret Samadhi - Hindi,4.1,Paperback,249.00
60,CBSE All In One Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),4.5,Paperback,359.00
61,Spoken English Course (Telugu),4.2,Paperback,272.00
62,Educart ABHYAAS Final NEET Mock Test Series 1 (papers 1-10) on Latest Pattern With Official OMR Sheets For July 2022 Exam,4.3,Paperback,325.00
63,Think & Grow Rich (Hindi),4.3,Paperback,99.00
64,Man's Search For Meaning: The classic tribute to hope from the Holocaust,4.5,Paperback,260.00
65,Think And Grow Rich,4.5,Paperback,104.00
66,Indian Art and Culture ( English| 4th Edition) | UPSC | Civil Services Exam | State Administrative Exams,4.5,Paperback,583.00
67,My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,4.4,Paperback,139.00
68,The Richest Man in Babylon,4.5,Paperback,98.00
69,Wren And Martin -high School English Grammar,4.5,Paperback,340.00
70,The Complete Novels of Sherlock Holmes,4.5,Paperback,139.00
71,"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by Sudha Murty for ages 8–12: ... fiction novel by Sudha Murty for ages 8–12",4.7,Paperback,170.00
72,Concept of Physics by H.C Verma Part - II - Session 2022-23,4.6,Paperback,378.00
73,Educart ABHYAAS Final NEET Mock Test Combo Series 1 & 2 (Paper 1-20) on Latest Pattern With Official OMR Sheets For July 2022 Exam,4.3,Paperback,680.00
74,101 Panchatantra Stories for Children: Colourful Illustrated Stories,4.5,Paperback,119.00
75,The Magicians of Mazda,4.6,Paperback,245.00
76,Bhagavad Gita Original in English - Bhagavad Gita as It is Original in English,4.8,Hardcover,220.00
77,Very First Sight Words Sentences Level 1,4.5,Paperback,130.00
78,The Theory of Everything: The Origin and Fate of the Universe,4.6,Paperback,149.00
79,Wings of Fire: An Autobiography of Abdul Kalam,4.6,Paperback,252.00
80,Educart ABHYAAS Final NEET Mock Test Series 2 (papers 11-20) on Latest Pattern With Official OMR Sheets For July 2022 Exam,4.4,Paperback,299.00
81,1984,4.5,Paperback,79.00
82,Think & Grow Rich: THE 21st CENTURY EDITION,4.5,Paperback,99.00
83,"The 5 AM Club: Own Your Morning, Elevate Your Life",4.5,Paperback,256.00
84,Tomb of Sand,4.3,Paperback,485.00
85,108 Panchatantra Stories (Illustrated) for children,4.4,Paperback,105.00
86,"MTG Objective NCERT at your FINGERTIPS - Physics, Best Books for NEET & JEE Preparation (Based on NCERT Pattern - Latest & Revised Edition 2022)",4.5,Paperback,438.00
87,OXFORD ENGLISH MINI DICTIONARY 7TH EDITION,4.4,Flexibound,120.00
88,"THINKING FAST AND SLOW, Kahneman, Daniel (Penguin Press Non-Fiction)",4.5,Paperback,410.00
89,"9 Years Topic Wise UPSC Civil Services IAS Mains Solved Papers (2022 to 2013) for Paper B (Compulsory English), Paper I (Essay), & Paper II - V (General Studies Papers 1 to 4) 3rd Edition",4.3,Paperback,428.00
90,Basics of Bhagavad Gita: A thematic study of the Bhagavad Gita,4.9,Paperback,87.00
91,NTA CUET UG English Book (Common University Entrance Test 2022),4.8,Paperback,235.00
92,T.S. Grewal's Double Entry Book Keeping: Financial Accounting Textbook for CBSE Class 11 (as per 2022-23 syllabus),4.4,Unknown Binding,530.00
93,A Modern Approach To Verbal & Non-Verbal Reasoning (2 Colour Edition),4.4,Paperback,608.00
94,Mindset: Changing The Way You think To Fulfil Your Potential,4.6,Paperback,259.00
95,"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of the body and Objects Around Us.",4.5,Paperback,159.00
96,The Monk Who Sold His Ferrari,4.5,Paperback,155.00
97,"India & World Map ( Both Political & Physical ) with Constitution of India Chart, History of India Chart & Geography Terms Chart | Set Of 7 | Useful for UPSC and other exams",4.5,Product Bundle,130.00
98,PMF IAS Environment for UPSC 2022-23,4.6,Paperback,499.00
99,Manorama English Yearbook 2022,4.6,Hardcover,230.00
100,Word Power Made Easy By Norman Lewis (More than 700 Pages),4.4,Paperback,89.00
