Product Name,MRP,Average_rating,Product_links
CASIO MJ-12D-BK Desktop Basic  Calculator  (12 Digit),418,4.5,https://www.flipkart.com/casio-mj-12d-bk-desktop-basic-calculator/p/itmc4e095765eeac?pid=CALEGGVZTFHPSACB&lid=LSTCALEGGVZTFHPSACBWFYZWW&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_1&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALEGGVZTFHPSACB.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
ORPAT OT - 512 GT Basic  Calculator  (12 Digit),239,4.3,https://www.flipkart.com/orpat-ot-512-gt-basic-calculator/p/itmcb8110d574144?pid=CALETPT5HAH2HGFH&lid=LSTCALETPT5HAH2HGFHTERZJN&marketplace=FLIPKART&store=dgv%2Fqtq&spotlightTagId=BestsellerId_dgv%2Fqtq&srno=b_1_2&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALETPT5HAH2HGFH.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO FX-350MS 2nd Edition Scientific  Calculator  (12 Digit),555,4.2,https://www.flipkart.com/casio-fx-350ms-2nd-scientific-calculator/p/itmec9pmvhzpq4gm?pid=CALFGZ8DZZBQGVZP&lid=LSTCALFGZ8DZZBQGVZPF6ZGY1&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_3&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFGZ8DZZBQGVZP.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO FX-82ES Plus 2nd Edition Scientific  Calculator  (12 Digit),715,4.2,https://www.flipkart.com/casio-fx-82es-plus-2nd-scientific-calculator/p/itmehqxjh85myyg9?pid=CALFRJKGAU4V5CSQ&lid=LSTCALFRJKGAU4V5CSQYDP3SM&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_4&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFRJKGAU4V5CSQ.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO FX-991MS Scientific Scientific  Calculator  (12 Digit),"1,040",4.4,https://www.flipkart.com/casio-fx-991ms-scientific-calculator/p/itme22drknqf3yam?pid=CALFHZ3BMGQKCMMY&lid=LSTCALFHZ3BMGQKCMMYILUFRY&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_5&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFHZ3BMGQKCMMY.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO DJ-120D Desktop Basic  Calculator  (12 Digit),726,4.4,https://www.flipkart.com/casio-dj-120d-desktop-basic-calculator/p/itmd42zcn23frtm4?pid=CALE39EJJ4FUGBY3&lid=LSTCALE39EJJ4FUGBY3VQO3LE&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_6&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALE39EJJ4FUGBY3.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
FLAIR 100 MS Scientific  Calculator  (14 Digit),427,4.2,https://www.flipkart.com/flair-100-ms-scientific-calculator/p/itm3a96b07f874eb?pid=CALG2CSMWZVAKQ4Z&lid=LSTCALG2CSMWZVAKQ4ZJFUZ8C&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_7&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALG2CSMWZVAKQ4Z.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO MJ-120D Desktop Basic  Calculator  (12 Digit),508,4.4,https://www.flipkart.com/casio-mj-120d-desktop-basic-calculator/p/itmd42zarvuqqmpe?pid=CALE39EJJUTSSMXS&lid=LSTCALE39EJJUTSSMXSPYCBYI&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_8&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALE39EJJUTSSMXS.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO Classwiz FX-991EX Scientific  Calculator  (12 Digit),"1,420",4.6,https://www.flipkart.com/casio-classwiz-fx-991ex-scientific-calculator/p/itmeeyyxyeuzfgyk?pid=CALEEYYXTFDMHX2J&lid=LSTCALEEYYXTFDMHX2JDOYGJN&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_9&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALEEYYXTFDMHX2J.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
OREVA OR 400 Check & Correct GST Financial  Calculator  (12 Digit),270,4.1,https://www.flipkart.com/oreva-400-check-correct-gst-financial-calculator/p/itmf4fecq5cr5yqc?pid=CALF4F86PMTZXRCY&lid=LSTCALF4F86PMTZXRCYUZCT6N&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_10&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALF4F86PMTZXRCY.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO FX-82MS Scientific Scientific  Calculator  (12 Digit),527,4.3,https://www.flipkart.com/casio-fx-82ms-scientific-calculator/p/itme8zgp4v2hntf8?pid=CALFHZ3B8CTGGHEW&lid=LSTCALFHZ3B8CTGGHEWERJCWG&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_11&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFHZ3B8CTGGHEW.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO MJ-12GST Desktop Basic  Calculator  (12 Digit),470,4.4,https://www.flipkart.com/casio-mj-12gst-desktop-basic-calculator/p/itmfbb3pxjdawmgz?pid=CALFBB3PHX754MEZ&lid=LSTCALFBB3PHX754MEZHMEGLP&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_12&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFBB3PHX754MEZ.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
OREVA SOLAR & BATTERY OPERATED CHECK & CORRECT GST CALCULATOR OR-512 Financial  Calculator  (12 Digit),270,4.1,https://www.flipkart.com/oreva-solar-battery-operated-check-correct-gst-calculator-or-512-financial/p/itm042c992ce56d2?pid=CALFU2HDRFQNAS2Q&lid=LSTCALFU2HDRFQNAS2QQBGUUK&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_13&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFU2HDRFQNAS2Q.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
BAMBALIO BL82MS 240 Functions & 2 Line Display 3 Years Warranty Scientific  Calculator  (12 Digit),419,4.1,https://www.flipkart.com/bambalio-bl82ms-240-functions-2-line-display-3-years-warranty-scientific-calculator/p/itme3z5ywmhu4zuw?pid=CALE3Z5YYPHTZPJ6&lid=LSTCALE3Z5YYPHTZPJ6W4YR6T&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_14&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALE3Z5YYPHTZPJ6.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO DJ-220DPLUS Desktop Basic  Calculator  (12 Digit),992,4.4,https://www.flipkart.com/casio-dj-220dplus-desktop-basic-calculator/p/itmesrg4hv3z4wph?pid=CALESRG4HFEMZ5HJ&lid=LSTCALESRG4HFEMZ5HJUTYID0&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_15&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALESRG4HFEMZ5HJ.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO MJ-120GST Desktop Basic  Calculator  (12 Digit),565,4.4,https://www.flipkart.com/casio-mj-120gst-desktop-basic-calculator/p/itmfbb3pvrb3jnda?pid=CALFBB3PKPGAWGVG&lid=LSTCALFBB3PKPGAWGVGRTDOQR&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_16&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFBB3PKPGAWGVG.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO MJ-12VCB-RG Desktop Basic  Calculator  (12 Digit),508,4.2,https://www.flipkart.com/casio-mj-12vcb-rg-desktop-basic-calculator/p/itmesrg453grwqzx?pid=CALESRG4ZJNDXYHS&lid=LSTCALESRG4ZJNDXYHSXUUSWS&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_17&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALESRG4ZJNDXYHS.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
OREVA OR 240 MS OR 240 MS Scientific  Calculator  (12 Digit),494,4,https://www.flipkart.com/oreva-240-ms-scientific-calculator/p/itmfdff659d58aab?pid=CALG2YHAXTJ2H5HH&lid=LSTCALG2YHAXTJ2H5HHIQVGSJ&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_18&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALG2YHAXTJ2H5HH.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO MJ-12VCB-BU Desktop Basic  Calculator  (12 Digit),508,4.2,https://www.flipkart.com/casio-mj-12vcb-bu-desktop-basic-calculator/p/itmesrg4cegykncz?pid=CALESRG4PBNYSZRD&lid=LSTCALESRG4PBNYSZRDQNKKAF&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_19&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALESRG4PBNYSZRD.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO MJ-100Da Desktop Basic  Calculator  (10 Digit),471,4.4,https://www.flipkart.com/casio-mj-100da-desktop-basic-calculator/p/itmeh7fgzundmaja?pid=CALESRG44BGZAH4W&lid=LSTCALESRG44BGZAH4WUMPGLD&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_20&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALESRG44BGZAH4W.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
jito 12 Digits JT-512 Blue Check & Correct Big Display 1 Year Warranty Basic  Calculator  (12 Digit),267,4.3,https://www.flipkart.com/jito-12-digits-jt-512-blue-check-correct-big-display-1-year-warranty-basic-calculator/p/itmc770ec6394dc8?pid=CALFVGPFSZVGHBHU&lid=LSTCALFVGPFSZVGHBHUPVR9UC&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_21&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFVGPFSZVGHBHU.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
TEXAS INSTRUMENTS BA-II Plus Advance BA-II Plus Advance Financial  Calculator  (10 Digit),"2,949",4.5,https://www.flipkart.com/texas-instruments-ba-ii-plus-advance-financial-calculator/p/itmehu8nybhsaa9d?pid=CALEHU8NGUNZ5FQW&lid=LSTCALEHU8NGUNZ5FQWRQ4CQJ&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_22&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALEHU8NGUNZ5FQW.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
OREVA OR-1712-C 1712 Basic  Calculator  (12 Digit),585,4,https://www.flipkart.com/oreva-or-1712-c-1712-basic-calculator/p/itmea9bdee3cdb93?pid=CALFVB79YQXWGCHK&lid=LSTCALFVB79YQXWGCHKZDM1BJ&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_23&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFVB79YQXWGCHK.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
FLAIR FC-82MS (240 Functions) Scientific  Calculator  (12 Digit),415,4,https://www.flipkart.com/flair-fc-82ms-240-functions-scientific-calculator/p/itmejmjfvtdgppfa?pid=CALGAN7UFSNMVYFU&lid=LSTCALGAN7UFSNMVYFURIR2A2&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_24&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALGAN7UFSNMVYFU.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
"BAMBALIO BL991-MS 2 Line Display, 401 Function, 3 Years Warranty Scientific  Calculator  (12 Digit)",665,4,https://www.flipkart.com/bambalio-bl991-ms-2-line-display-401-function-3-years-warranty-scientific-calculator/p/itm2a03670410743?pid=CALDTKWW5GMVMZJF&lid=LSTCALDTKWW5GMVMZJFPTBFLY&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_25&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALDTKWW5GMVMZJF.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO MJ-12VCB-RD Desktop Basic  Calculator  (12 Digit),508,4.2,https://www.flipkart.com/casio-mj-12vcb-rd-desktop-basic-calculator/p/itmesrg4ubfpxc2z?pid=CALESRG4HEXAJUXY&lid=LSTCALESRG4HEXAJUXYYQVX80&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_26&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALESRG4HEXAJUXY.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO SX-320P-W Portable Basic  Calculator  (12 Digit),342,4.2,https://www.flipkart.com/casio-sx-320p-w-portable-basic-calculator/p/itmf7x5hgtbz2zzd?pid=CALF7XFFZJ65BM2B&lid=LSTCALF7XFFZJ65BM2BSU02MH&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_27&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALF7XFFZJ65BM2B.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
jito 12 Digits JT-512 Black (Box) Check & Correct Big Display 1 Year Warranty Basic  Calculator  (12 Digit),252,4,https://www.flipkart.com/jito-12-digits-jt-512-black-box-check-correct-big-display-1-year-warranty-basic-calculator/p/itm11353ee31e138?pid=CALFXYNFR8H83MWA&lid=LSTCALFXYNFR8H83MWAUQSRTF&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_28&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFXYNFR8H83MWA.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO DJ-240DPLUS Desktop Basic  Calculator  (14 Digit),"1,042",4.4,https://www.flipkart.com/casio-dj-240dplus-desktop-basic-calculator/p/itmesrg4hhs4wbp8?pid=CALESRG4TKZEWHW5&lid=LSTCALESRG4TKZEWHW5BQROS0&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_29&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALESRG4TKZEWHW5.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
CASIO HL-122TV Portable Basic  Calculator  (12 Digit),451,4.2,https://www.flipkart.com/casio-hl-122tv-portable-basic-calculator/p/itmd42zcchtwq94y?pid=CALERK2AGCRPMFV2&lid=LSTCALERK2AGCRPMFV2IIYCBN&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_30&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALERK2AGCRPMFV2.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
OREVA OR-1600 C GOLDEN OR-1600 C GOLDEN Basic  Calculator  (12 Digit),619,4.2,https://www.flipkart.com/oreva-or-1600-c-golden-basic-calculator/p/itmd115ec36aef41?pid=CALFBYHYAAGX6N68&lid=LSTCALFBYHYAAGX6N68NVKSSX&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_31&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALFBYHYAAGX6N68.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
BAMBALIO BL-777 3 Years Warranty Basic  Calculator  (12 Digit),495,4.6,https://www.flipkart.com/bambalio-bl-777-3-years-warranty-basic-calculator/p/itm3cfc3d50fe53b?pid=CALDPXKFDVFXDTAZ&lid=LSTCALDPXKFDVFXDTAZC7YFWX&marketplace=FLIPKART&store=dgv%2Fqtq&srno=b_1_32&otracker=browse&fm=organic&iid=09b18db9-accf-4194-8e0b-7e714a2e2a25.CALDPXKFDVFXDTAZ.SEARCH&ppt=None&ppn=None&ssid=9tw37b3pog0000001655980934834
